Marca,Modelo,Ano,Cor,País,Preço (€),Quilometragem (km),Tipo
Audi,Q5,2014,Azul,Portugal,14284,59886,Usado
BMW,Serie 5,2022,Preto,Países Baixos,47131,196335,Usado
Ford,Kuga,2021,Preto,Países Baixos,59101,204041,Usado
Ford,Mondeo,2020,Cinza,França,31693,208004,Usado
Renault,Clio,2016,Cinza,Polônia,21431,135523,Usado
Renault,Talisman,2014,Cinza,Polônia,38773,124346,Usado
Renault,Captur,2019,Cinza,Itália,6556,8890,Usado
Audi,A3,2008,Preto,Espanha,11792,244931,Usado
Fiat,Tipo,2008,Preto,França,58387,125174,Usado
Renault,Captur,2011,Cinza,Polônia,43994,85077,Usado
Volkswagen,Tiguan,2017,Azul,França,4021,213261,Usado
Fiat,Tipo,2003,Preto,Polônia,9873,207283,Usado
BMW,Serie 3,2003,Cinza,Países Baixos,14534,230735,Usado
Fiat,500,2007,Vermelho,Portugal,11529,87798,Usado
Peugeot,5008,2012,Preto,Polônia,52216,53984,Usado
Audi,A3,2000,Preto,Países Baixos,51190,141330,Usado
Mercedes,Classe A,2007,Azul,Alemanha,15666,43660,Usado
BMW,Serie 3,2008,Prata,Alemanha,33535,214675,Usado
BMW,Serie 1,2015,Branco,Reino Unido,17039,128684,Usado
Mercedes,GLC,2007,Branco,Itália,8056,234090,Usado
Peugeot,3008,2013,Vermelho,Portugal,59537,103806,Usado
Audi,A4,2006,Preto,Polônia,24518,223969,Usado
BMW,X1,2012,Preto,Países Baixos,54942,127096,Usado
Renault,Clio,2003,Prata,Polônia,9374,192116,Usado
Audi,Q3,2003,Prata,Polônia,12914,98426,Usado
Fiat,Punto,2001,Cinza,Reino Unido,52080,114556,Usado
Fiat,Punto,2011,Preto,Reino Unido,45941,157906,Usado
Ford,Focus,2022,Prata,Polônia,26776,166152,Usado
Volkswagen,Passat,2019,Branco,Itália,43294,194125,Usado
Ford,Kuga,2008,Cinza,Alemanha,35562,18545,Usado
Renault,Talisman,2014,Preto,Países Baixos,33303,73840,Usado
Renault,Clio,2016,Branco,Espanha,55733,70318,Usado
BMW,Serie 5,2016,Preto,Países Baixos,30728,31736,Usado
BMW,Serie 3,2021,Preto,Países Baixos,10392,60680,Usado
Mercedes,Classe C,2001,Cinza,França,41559,162381,Usado
Ford,Kuga,2003,Preto,Países Baixos,56370,148760,Usado
Audi,A4,2004,Azul,Reino Unido,26509,39698,Usado
Audi,Q5,2015,Vermelho,Espanha,23666,245965,Usado
Ford,Fiesta,2002,Cinza,Itália,50011,208154,Usado
BMW,Serie 5,2018,Branco,Polônia,21227,144752,Usado
Volkswagen,Tiguan,2006,Prata,Alemanha,4802,13155,Usado
Volkswagen,Golf,2017,Prata,Reino Unido,33306,152718,Usado
Renault,Talisman,2015,Cinza,Espanha,48936,138121,Usado
Volkswagen,Tiguan,2011,Cinza,Países Baixos,10158,179088,Usado
Volkswagen,Passat,2018,Azul,Itália,7499,11295,Usado
Fiat,Punto,2000,Azul,Itália,53800,37711,Usado
Renault,Megane,2007,Cinza,Itália,5557,43360,Usado
Mercedes,Classe A,2017,Preto,França,14969,7869,Usado
Mercedes,GLC,2008,Preto,Espanha,26328,96412,Usado
Ford,Mondeo,2007,Vermelho,Alemanha,7735,49064,Usado
Ford,Mondeo,2018,Azul,Reino Unido,9893,121381,Usado
Fiat,Tipo,2012,Cinza,Países Baixos,22738,35746,Usado
BMW,X3,2000,Cinza,Países Baixos,8600,230732,Usado
Renault,Clio,2015,Branco,Itália,47080,110983,Usado
Volkswagen,Tiguan,2013,Prata,Itália,35635,68208,Usado
Peugeot,5008,2016,Cinza,Polônia,55322,202307,Usado
Volkswagen,Tiguan,2020,Preto,Alemanha,55479,221386,Usado
Ford,Focus,2009,Prata,França,41210,236271,Usado
Fiat,Punto,2017,Cinza,Reino Unido,21070,40777,Usado
Audi,Q3,2009,Prata,Alemanha,30751,242472,Usado
Volkswagen,Passat,2021,Branco,Portugal,8801,155262,Usado
BMW,Serie 5,2017,Prata,Portugal,26355,223617,Usado
Audi,A3,2003,Vermelho,Alemanha,15039,11655,Usado
Fiat,Punto,2013,Prata,Polônia,16403,37097,Usado
BMW,Serie 5,2021,Cinza,Reino Unido,34024,244283,Usado
BMW,Serie 5,2004,Cinza,Portugal,57843,8051,Usado
Renault,Clio,2006,Preto,Portugal,59179,168165,Usado
Audi,Q3,2022,Preto,Países Baixos,31940,238841,Usado
Renault,Megane,2018,Vermelho,Polônia,17098,33251,Usado
BMW,Serie 3,2004,Preto,Reino Unido,54990,137222,Usado
Volkswagen,Tiguan,2020,Preto,França,19896,135798,Usado
BMW,Serie 1,2007,Prata,Alemanha,6343,149572,Usado
Audi,Q5,2004,Cinza,Polônia,11130,221139,Usado
BMW,Serie 5,2004,Preto,Portugal,12435,190412,Usado
Audi,A3,2013,Verde,Portugal,32899,48919,Usado
BMW,Serie 3,2015,Vermelho,Espanha,59573,64101,Usado
Peugeot,3008,2009,Prata,Espanha,5849,131131,Usado
Audi,A4,2018,Cinza,Alemanha,44975,14540,Usado
Peugeot,5008,2015,Preto,Polônia,33977,99704,Usado
Renault,Talisman,2019,Cinza,França,14938,171267,Usado
Volkswagen,Golf,2018,Vermelho,Espanha,43770,233928,Usado
Volkswagen,Tiguan,2009,Preto,Portugal,46404,222099,Usado
Audi,A4,2001,Preto,França,37850,32350,Usado
Volkswagen,Polo,2007,Branco,França,12817,212869,Usado
BMW,Serie 5,2008,Cinza,França,27052,43513,Usado
Peugeot,3008,2003,Branco,Portugal,30384,49425,Usado
Peugeot,208,2002,Verde,Países Baixos,20955,42841,Usado
Volkswagen,Passat,2022,Prata,Portugal,47811,172280,Usado
Audi,A3,2022,Vermelho,Alemanha,58069,116888,Usado
Volkswagen,Polo,2019,Vermelho,Reino Unido,56644,71234,Usado
Mercedes,Classe A,2003,Preto,Alemanha,27466,173011,Usado
Volkswagen,Passat,2013,Azul,Espanha,57098,196993,Usado
Audi,Q5,2020,Preto,Espanha,26576,233275,Usado
Mercedes,Classe A,2003,Prata,Países Baixos,30192,6062,Usado
Peugeot,208,2009,Verde,Reino Unido,40497,14348,Usado
Mercedes,GLA,2010,Azul,Polônia,9731,184208,Usado
BMW,Serie 3,2011,Prata,Reino Unido,4542,26677,Usado
Peugeot,5008,2009,Branco,Itália,22065,219532,Usado
Peugeot,208,2005,Verde,Países Baixos,45348,162504,Usado
Fiat,Punto,2016,Prata,Alemanha,4324,96267,Usado
Renault,Megane,2018,Vermelho,Reino Unido,29790,123874,Usado
BMW,Serie 3,2018,Preto,Itália,23652,9748,Usado
BMW,X1,2019,Preto,Portugal,28470,178416,Usado
Audi,A3,2002,Cinza,Reino Unido,3504,235590,Usado
Renault,Clio,2000,Branco,Reino Unido,5105,41395,Usado
Peugeot,5008,2012,Preto,Portugal,23559,229117,Usado
Peugeot,3008,2004,Branco,Itália,16843,246080,Usado
BMW,Serie 1,2016,Azul,Polônia,55736,243964,Usado
Fiat,Tipo,2002,Prata,Alemanha,10114,83859,Usado
BMW,X1,2020,Branco,Espanha,58971,66529,Usado
Ford,Focus,2017,Branco,Portugal,7835,25159,Usado
Mercedes,Classe C,2016,Branco,Portugal,38547,102007,Usado
Peugeot,208,2013,Preto,Reino Unido,8713,61178,Usado
Ford,Fiesta,2014,Prata,França,22255,63141,Usado
BMW,Serie 5,2012,Preto,Países Baixos,30712,105497,Usado
Ford,Kuga,2016,Branco,França,7158,198752,Usado
Fiat,500,2016,Vermelho,França,13344,110570,Usado
Audi,A3,2020,Preto,Reino Unido,15763,154456,Usado
Peugeot,3008,2004,Verde,Portugal,26574,28524,Usado
Peugeot,208,2009,Vermelho,Alemanha,51212,192469,Usado
Volkswagen,Polo,2000,Verde,Portugal,24949,206152,Usado
Volkswagen,Tiguan,2001,Branco,Países Baixos,17489,194089,Usado
Fiat,Tipo,2002,Cinza,Espanha,45944,120765,Usado
Renault,Clio,2016,Preto,Polônia,18254,49238,Usado
Peugeot,208,2013,Azul,Itália,18781,70215,Usado
Renault,Megane,2005,Cinza,França,9941,30934,Usado
Mercedes,GLA,2001,Branco,Reino Unido,59800,102239,Usado
Audi,Q5,2022,Cinza,Alemanha,54332,108196,Usado
Renault,Megane,2016,Cinza,Espanha,58123,130911,Usado
Peugeot,308,2005,Cinza,Portugal,42037,172658,Usado
Mercedes,GLC,2010,Preto,Alemanha,27214,241726,Usado
Ford,Kuga,2010,Preto,Países Baixos,48415,130827,Usado
Ford,Fiesta,2002,Prata,Itália,7188,120359,Usado
BMW,X3,2018,Preto,Portugal,24969,116195,Usado
BMW,X3,2021,Preto,Alemanha,42144,152979,Usado
BMW,Serie 3,2016,Cinza,Portugal,19282,28624,Usado
BMW,Serie 1,2014,Cinza,Polônia,58645,246770,Usado
Audi,Q5,2016,Branco,Alemanha,17178,55428,Usado
Renault,Captur,2014,Branco,Reino Unido,11717,132449,Usado
Renault,Captur,2013,Cinza,Portugal,42577,9621,Usado
Mercedes,GLC,2018,Azul,Polônia,20302,89717,Usado
Mercedes,GLA,2012,Prata,Reino Unido,42650,39674,Usado
Audi,Q5,2022,Branco,França,4062,55448,Usado
Audi,A4,2011,Branco,Portugal,47243,142240,Usado
Renault,Megane,2002,Azul,França,29734,142443,Usado
Audi,A4,2001,Cinza,Países Baixos,18728,28275,Usado
Mercedes,Classe C,2008,Branco,Espanha,57553,53447,Usado
BMW,Serie 5,2012,Branco,Alemanha,53612,163357,Usado
Peugeot,308,2005,Branco,Espanha,14613,192210,Usado
Fiat,Tipo,2022,Vermelho,Itália,27818,236966,Usado
Ford,Fiesta,2003,Verde,Reino Unido,59641,46427,Usado
Renault,Captur,2003,Preto,Reino Unido,49685,220543,Usado
Fiat,500,2001,Cinza,Países Baixos,51153,51514,Usado
Peugeot,5008,2004,Preto,Reino Unido,29386,194139,Usado
