Marca,Modelo,Ano,Cor,País,Preço (€),Tipo
Audi,A4,2020,Branco,Polônia,45377,Novo
Mercedes,GLC,2019,Verde,Alemanha,85409,Novo
Ford,Focus,2018,Branco,Países Baixos,20481,Novo
Audi,A4,2022,Branco,Portugal,37985,Novo
Renault,Captur,2022,Cinza,Portugal,21648,Novo
BMW,X1,2022,Branco,Polônia,60513,Novo
Audi,Q5,2020,Branco,Alemanha,50355,Novo
Fiat,Panda,2021,Cinza,Itália,24054,Novo
Peugeot,5008,2021,Vermelho,Portugal,33773,Novo
Mercedes,Classe A,2022,Azul,Polônia,85239,Novo
Renault,Captur,2019,Cinza,Alemanha,16329,Novo
Mercedes,Classe C,2019,Branco,Reino Unido,54297,Novo
Volkswagen,Tiguan,2019,Azul,Espanha,37093,Novo
BMW,Serie 5,2021,Vermelho,Espanha,59640,Novo
BMW,X1,2019,Preto,Polônia,67355,Novo
BMW,Serie 5,2021,Prata,França,34863,Novo
Fiat,Panda,2021,Azul,Reino Unido,15505,Novo
Renault,Megane,2019,Branco,Polônia,27125,Novo
BMW,X3,2022,Branco,Espanha,43911,Novo
Audi,A4,2022,Vermelho,Portugal,83156,Novo
Volkswagen,Golf,2019,Branco,Portugal,33295,Novo
Fiat,Tipo,2018,Cinza,França,17342,Novo
Ford,Kuga,2022,Vermelho,Itália,29923,Novo
Fiat,Panda,2021,Vermelho,França,13230,Novo
BMW,X1,2019,Cinza,Países Baixos,44485,Novo
Mercedes,Classe C,2020,Azul,Reino Unido,70889,Novo
Renault,Captur,2019,Verde,Espanha,33059,Novo
Volkswagen,Tiguan,2020,Azul,Itália,38922,Novo
Renault,Megane,2021,Preto,Polônia,34958,Novo
Ford,Mondeo,2022,Preto,Alemanha,27552,Novo
BMW,Serie 5,2019,Vermelho,França,76283,Novo
Mercedes,GLA,2022,Branco,Espanha,61511,Novo
Fiat,Tipo,2019,Preto,Itália,17421,Novo
Volkswagen,Polo,2018,Preto,Espanha,40131,Novo
Ford,Kuga,2021,Prata,Itália,23364,Novo
BMW,Serie 1,2019,Vermelho,Países Baixos,73704,Novo
BMW,Serie 5,2022,Prata,Espanha,71251,Novo
Ford,Mondeo,2022,Preto,Reino Unido,21343,Novo
Audi,Q5,2022,Preto,Alemanha,72110,Novo
BMW,Serie 1,2022,Cinza,Itália,61557,Novo
Fiat,Panda,2019,Branco,Itália,13639,Novo
Ford,Mondeo,2020,Preto,Alemanha,38393,Novo
Audi,A4,2019,Preto,Alemanha,50259,Novo
Renault,Captur,2021,Azul,Reino Unido,23485,Novo
Fiat,Tipo,2019,Branco,França,20801,Novo
Fiat,500,2020,Vermelho,Reino Unido,25456,Novo
Ford,Fiesta,2022,Branco,Alemanha,31428,Novo
Mercedes,GLC,2020,Prata,França,75696,Novo
Audi,A4,2022,Preto,Reino Unido,73230,Novo
Mercedes,GLA,2022,Preto,Reino Unido,48673,Novo
Audi,A3,2021,Cinza,Alemanha,47512,Novo
Audi,A4,2019,Preto,Itália,60189,Novo
Mercedes,GLC,2020,Vermelho,Alemanha,34050,Novo
Volkswagen,Passat,2021,Prata,Espanha,31559,Novo
Volkswagen,Passat,2021,Prata,Reino Unido,20747,Novo
Ford,Kuga,2018,Verde,Reino Unido,21344,Novo
BMW,Serie 1,2020,Branco,Reino Unido,36976,Novo
Peugeot,308,2021,Preto,Polônia,39808,Novo
Peugeot,308,2022,Branco,Alemanha,37288,Novo
Audi,A3,2021,Preto,Países Baixos,60845,Novo
Ford,Fiesta,2018,Branco,Portugal,33170,Novo
Fiat,Punto,2020,Preto,Países Baixos,27827,Novo
Renault,Megane,2019,Preto,Polônia,31115,Novo
BMW,Serie 1,2018,Cinza,Países Baixos,49306,Novo
